Site_Name,Paper_ID,Latitude,Longitude,Elevation,MAT,MAP,PAS,EXT,CMD,Tave_wt,Tave_sm,PPT_wt,PPT_sm,CE10_chr1_865732,CE10_chr1_1722642,CE10_chr1_4675850,CE10_chr1_12171428,CE10_chr1_13581631,CE10_chr1_17718772,CE10_chr1_32671779,CE10_chr1_36935204,CE10_chr1_36936794,CE10_chr1_36941008,CE10_chr1_38814297,CE10_chr1_38819336,CE10_chr1_38825189,CE10_chr1_40315346,CE10_chr1_41599144,CE10_chr1_41673992,CE10_chr1_41675430,CE10_chr1_41675448,CE10_chr1_41675470,CE10_chr1_41675824,CE10_chr1_41675929,CE10_chr1_41678501,CE10_chr1_41678524,CE10_chr1_44654688,CE10_chr2_2661768,CE10_chr2_2661862,CE10_chr2_6956638,CE10_chr2_6958404,CE10_chr2_6959630,CE10_chr2_6960253,CE10_chr2_13563156,CE10_chr2_22904891,CE10_chr2_37365683,CE10_chr2_39783336,CE10_chr2_40551025,CE10_chr2_41154260,CE10_chr2_51394314,CE10_chr2_51899790,CE10_chr2_53388916,CE10_chr2_53399591,CE10_chr2_53400478,CE10_chr2_53401321,CE10_chr3_6791956,CE10_chr3_10785844,CE10_chr3_14480566,CE10_chr3_15541494,CE10_chr3_18134809,CE10_chr3_21030630,CE10_chr3_22653589,CE10_chr3_23041587,CE10_chr3_23139061,CE10_chr3_24257330,CE10_chr3_42841832,CE10_chr3_48346120,CE10_chr4_9192728,CE10_chr4_9193464,CE10_chr4_9195003,CE10_chr4_45367078,CE10_chr5_5845675,CE10_chr5_6592466,CE10_chr5_8751850,CE10_chr5_9830836,CE10_chr5_9832794,CE10_chr5_9836990,CE10_chr5_9875595,CE10_chr5_9882430,CE10_chr5_9896272,CE10_chr5_9900611,CE10_chr5_9953812,CE10_chr5_9954252,CE10_chr5_11180046,CE10_chr5_41894183,CE10_chr5_41935919,CE10_chr5_51314141,CE10_chr6_257233,CE10_chr6_1416066,CE10_chr6_2638799,CE10_chr6_2752344,CE10_chr6_2755792,CE10_chr6_2755852,CE10_chr6_10140458,CE10_chr6_43994358,CE10_chr6_51193753,CE10_chr6_51194790,CE10_chr6_53301571,CE10_chr6_53332972,CE10_chr6_53832279,CE10_chr6_53832299,CE10_chr6_53833729,CE10_chr6_53835873,CE10_chr6_54174875,CE10_chr6_55633735,CE10_chr6_56804701,CE10_chr6_58952579,CE10_chr6_60334605,CE10_chr6_60718601,CE10_chr7_985535,CE10_chr7_986173,CE10_chr7_986719,CE10_chr7_987180,CE10_chr7_994007,CE10_chr7_994673,CE10_chr7_998986,CE10_chr7_1337233,CE10_chr7_1856331,CE10_chr7_2360636,CE10_chr7_2684373,CE10_chr7_4164614,CE10_chr7_4172139,CE10_chr7_9883449,CE10_chr7_10591619,CE10_chr7_11015414,CE10_chr7_15769730,CE10_chr7_23178958,CE10_chr7_28948567,CE10_chr7_28981283,CE10_chr7_29003536,CE10_chr7_29107369,CE10_chr7_29158559,CE10_chr7_29161404,CE10_chr7_29208220,CE10_chr7_29391174,CE10_chr7_29659045,CE10_chr7_29724587,CE10_chr7_29729519,CE10_chr7_30015050,CE10_chr7_30016447,CE10_chr7_30059557,CE10_chr7_30103040,CE10_chr7_30250512,CE10_chr7_30305796,CE10_chr7_30307553,CE10_chr7_30308993,CE10_chr7_30309817,CE10_chr7_30609338,CE10_chr7_30615814,CE10_chr7_30620527,CE10_chr7_30620833,CE10_chr7_30621013,CE10_chr7_30623199,CE10_chr7_30652811,CE10_chr7_30828465,CE10_chr7_30989065,CE10_chr7_30989213,CE10_chr7_30993871,CE10_chr7_30994029,CE10_chr7_32437131,CE10_chr7_32443349,CE10_chr7_32532317,CE10_chr7_39209611,CE10_chr7_39808984,CE10_chr7_39914579,CE10_chr7_39925591,CE10_chr7_39927083,CE10_chr7_39927324,CE10_chr7_39927553,CE10_chr7_39928890,CE10_chr7_40848773,CE10_chr7_45176171,CE10_chr8_67505,CE10_chr8_453177,CE10_chr8_453457,CE10_chr8_1300847,CE10_chr8_1673324,CE10_chr8_3972852,CE10_chr8_4186577,CE10_chr8_13515170,CE10_chr8_15704151,CE10_chr8_39532743,CE10_chr8_39535580,CE10_chr8_39558859,CE10_chr8_39564287,CE10_chr8_40080676,CE10_chr8_40341188,CE10_chr8_47752251,CE10_chr8_47952724
Rock Creek,11,43.37876,-122.95207,1168,9.8,2474,104,37.3,282,4,16.8,1059,125,0.55,0.85,1,0,0.8,1,0.1111111111111111,0.16666666666666666,0.2,0.2,0.3333333333333333,0.3,0.45,0.75,0.85,0.1,0,0,0,0,0.1111111111111111,0.16666666666666666,0.05,0.95,0.2,0.25,0.35,0.35,0.3888888888888889,0.4,1,1,1,0.5,0.5,0.55,0,0.15,0.85,0.8,0.8125,0.75,0.55,0.35,0.95,0.6,0.5,0.5555555555555556,0.65,0.5,0.6,0.6,0.7777777777777778,1,0.8,0.75,0.7777777777777778,0.95,0.95,1,0.55,0.65,0.65,0.5714285714285714,0.65,0.65,0.35,0.65,0.7222222222222222,0.65,0.4,0.75,0.4,1,1,1,0.5,0.35,0.4,0.4,0.25,0.16666666666666666,0.55,0.8,0.3333333333333333,0.1,0.2,0.2,0.75,0.15,1,0.35,0.2,0.3,0.55,1,0.15,0.35,0.1111111111111111,1,1,1,1,0.85,1,0.45,0.2222222222222222,0.3888888888888889,1,0,0.3,0.95,0.85,0.85,0.95,0.25,0.2,0.05555555555555555,0.2,0.25,0.1111111111111111,0.16666666666666666,0.2,0.2,0.2222222222222222,0.2,0.95,0.16666666666666666,0.1111111111111111,0.15,0.16666666666666666,0.15,0.95,0.05555555555555555,0.2,0.15,0.2222222222222222,0.2,0,0.25,0.15,0.15,0.3333333333333333,0.3,0.2222222222222222,0.3,0.875,0.8,0.7,0.55,0.65,1,1,0.95,1,0.95,0.4,1,0.9,0.6666666666666666,0.85,1,1,0.4,0.35,0.25,0.6,0,0.5,0.35,0.55,0.45,0.9,1,0.85,0.95
Mill Creek,12,34.07808,-116.87558,1990,7.6,824,147,35.9,653,0.7,15.7,392,38,0.65,0.5,1,0,1,1,0,0,0,0,0.95,1,0.25,1,0.7777777777777778,0.85,0.8,0.8,0.8,0,1,1,1,0.65,1,1,1,1,1,1,1,1,1,0.75,1,0.95,0.45,0.65,1,0,0,0,0.3,1,1,0.05,1,1,1,1,1,1,0.1111111111111111,1,0,0,0,1,1,1,0.55,1,1,0,1,1,0,1,1,1,0,0.6,1,1,1,0.875,0.75,0.95,0.9444444444444444,0.95,1,1,1,0,1,0.55,1,1,1,1,0.9,1,0.5,1,1,0.05,0.95,1,1,0.95,1,1,1,0.05,0.8333333333333334,1,0.9444444444444444,1,0,0.55,0.9,0.65,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0.9,0.95,1,0.9444444444444444,0.7222222222222222,1,1,1,0.85,0.875,1,0.65,1,0.35,0.95,0,0,0,0,0.15,1,1,1,1
Cottonwood Creek,13,32.60831,-116.70098,264,16.5,371,1,45,1152,10.7,23,174,7,1,0.2727272727272727,1,0.15,1,1,0,0,0,0,1,1,0.4090909090909091,1,0.5,1,0.8571428571428571,0.6,0.7,0.14285714285714285,0.9545454545454546,0.9545454545454546,0.5909090909090909,0.45454545454545453,0.9545454545454546,0.9,1,1,1,1,1,0.9,0.9285714285714286,0.9090909090909091,1,0.36363636363636365,0,0.6818181818181818,1,0,0,0,1,1,0.3181818181818182,0,1,0.95,1,1,1,1,0,1,1,1,1,1,1,0.9545454545454546,0,1,1,0.045454545454545456,1,1,0,1,1,1,0.045454545454545456,0.4090909090909091,1,1,0.6363636363636364,0.5,0.5909090909090909,0.9545454545454546,0.9545454545454546,0.9545454545454546,1,1,1,0.8636363636363636,1,0.45454545454545453,0.9444444444444444,0.9444444444444444,1,0.9090909090909091,0.8636363636363636,1,0.35714285714285715,1,1,0,0.8636363636363636,1,0.85,0.9090909090909091,1,0.9545454545454546,1,0.09090909090909091,1,0.9090909090909091,1,1,0,0.5,0.4,0.2727272727272727,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.45454545454545453,0.6818181818181818,0.45454545454545453,1,0.45454545454545453,1,1,0.5714285714285714,1,1,1,1,1,1,1,0,0,0,0.9545454545454546,0,1,0.8181818181818182,0.8636363636363636,1,1,0.13636363636363635,0.8888888888888888,1,1,0.3181818181818182,0.3,1,0.7272727272727273,1,0.3181818181818182,1,0.1,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.9545454545454546,0.9090909090909091,1,1
Hauser Creek,14,32.65822,-116.53235,793,14.6,375,2,44.5,1162,8.8,21.5,183,23,0.85,0.375,1,0,1,1,0,0,0,0,1,1,0.35,1,0.7,0.5,0.1875,0.25,0.3333333333333333,0,1,1,0.95,0.65,0.9,0.9,1,1,1,1,1,1,0.9444444444444444,0.8888888888888888,1,0.55,0.1875,0.8,0.85,0,0,0.05,1,1,0.375,0,0.95,1,1,1,1,1,0,1,0.95,0.9444444444444444,0.8888888888888888,1,1,0.9,0,1,1,0,1,1,0,1,1,1,0,0.3,1,1,0.7,0.95,0.7777777777777778,0.95,0.95,0.95,1,1,1,0.55,1,0.5,1,0.95,1,0.9444444444444444,0.875,1,0.1875,1,1,0.08333333333333333,1,1,1,0.7777777777777778,1,1,1,0,0.75,0.4444444444444444,1,0.9,0.1111111111111111,0.7,0.75,0.45,1,0,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,0.95,1,1,0.45,0.7222222222222222,0.4444444444444444,1,0.4444444444444444,1,1,0.3888888888888889,1,1,1,1,1,1,1,0,0,0,0.8,0,1,0.5,0.5,0.8333333333333334,0.875,0.65,1,1,1,0.1,0.16666666666666666,1,0.7777777777777778,1,0.6,1,0.05,0,0.05,0,0.05555555555555555,0.8,0.75,1,1
Kitchen Creek,15,32.75206,-116.45221,1172,13,545,6,42.4,963,7,20.1,254,31,1,0.4,1,0.2222222222222222,1,1,0,0,0,0,1,1,0.95,1,0.2,0.7,0.5555555555555556,0.55,0.5,0,1,1,0.9,0.3,1,1,1,1,1,1,1,1,1,0.7,1,0.6111111111111112,0.05,0.7,0.75,0,0,0,1,1,0.8,0,1,1,1,1,1,1,0,1,0.9444444444444444,0.9,0.9,1,0.95,1,0,1,1,0.0625,1,1,0,1,1,1,0,0.65,1,1,0.5625,0.75,0.8888888888888888,0.95,0.95,0.95,1,1,1,0.6111111111111112,1,0.75,1,1,1,1,0.9,1,0.7,0.9,0.9444444444444444,0.1875,0.9,1,0.95,1,1,0.95,1,0,0.75,0.8333333333333334,1,0.85,0.05555555555555555,0.45,0.65,0.2777777777777778,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.2,0.85,1,0.9,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8333333333333334,0,1,0.6,0.7,0.75,0.7142857142857143,0.5555555555555556,0.9,1,1,0.55,0.7,1,0.9375,1,0.4,1,0,0,0,0,0.05555555555555555,1,1,1,1
Chariot Canyon,16,33.03596,-116.53623,1071,14.3,577,4,42.7,953,7.7,22,258,42,0.9285714285714286,0.6666666666666666,1,0.25,1,1,0,0,0,0,1,1,1,1,0.16666666666666666,1,0.625,0.5714285714285714,0.5,0.21428571428571427,1,1,0.7857142857142857,0,0.8571428571428571,0.8571428571428571,1,1,1,1,1,1,1,0.2857142857142857,1,0.5833333333333334,0.3333333333333333,0.7857142857142857,0.9285714285714286,0,0,0,1,1,0.7857142857142857,0,1,1,1,1,1,1,0,1,0.8571428571428571,0.8571428571428571,0.7857142857142857,1,1,0.7857142857142857,0,1,1,0,1,1,0,1,1,1,0,0.6428571428571429,1,1,0.8571428571428571,1,0.6428571428571429,1,1,1,1,1,1,0.5,1,0.2857142857142857,1,1,1,0.75,0.7857142857142857,1,0.3333333333333333,1,0.8571428571428571,0,0.8571428571428571,1,0.8333333333333334,1,1,1,1,0.08333333333333333,1,0.35714285714285715,1,1,0.14285714285714285,0.2857142857142857,0.9166666666666666,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9285714285714286,0.3333333333333333,0.9285714285714286,1,0.9285714285714286,1,1,0.9285714285714286,1,1,1,1,1,1,1,0,0,0,0.8571428571428571,0,1,0.8,0.5833333333333334,0.75,1,0.5,1,1,1,0.5,0.3333333333333333,1,1,1,0.5,1,0,0,0.07142857142857142,0,0.07142857142857142,1,0.7142857142857143,1,1
Whitewater Canyon,17,33.99329,-116.66267,697,17.5,278,1,44.9,1270,10.2,25.5,141,19,0.8,0.7222222222222222,1,0.2777777777777778,1,1,0.1111111111111111,0,0,0,1,1,0.5555555555555556,1,0.2777777777777778,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.8888888888888888,1,0.8333333333333334,0.16666666666666666,1,1,1,1,1,1,1,1,1,0.4444444444444444,1,0.8888888888888888,0.7222222222222222,0.5555555555555556,1,0.16666666666666666,0.1111111111111111,0.125,0.3888888888888889,1,1,0,1,1,1,1,1,1,0,1,0.1875,0.16666666666666666,0.2222222222222222,1,1,0.7222222222222222,0.16666666666666666,1,1,0,1,1,0,1,1,1,0.1111111111111111,0.4444444444444444,1,1,0.6111111111111112,0.9,0.9444444444444444,0.8125,0.7222222222222222,0.7222222222222222,0.8888888888888888,1,1,0.4444444444444444,1,0.6666666666666666,1,1,1,0.8888888888888888,0.6111111111111112,1,1,1,0.8888888888888888,0.125,0.7222222222222222,1,0.7222222222222222,0.6875,1,0.8888888888888888,1,0,0.6666666666666666,1,1,1,0.1111111111111111,0.5625,1,1,1,0.1111111111111111,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0,0,1,0.125,1,1,1,1,1,0.16666666666666666,1,1,1,0.3888888888888889,0.4375,1,0.8333333333333334,0.8888888888888888,0.3333333333333333,1,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,1,1,1,1
Arroyo Sequit,18,34.06511,-118.93279,70,17.5,389,0,41.9,889,14,21,226,4,1,0.8,1,0.5,1,1,0,0,0,0,1,0.875,0.7,1,0.1,0.5,0.3,0.3,0.3,0,1,1,0.875,0.7,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.5,0.9,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0.9,1,1,0.9,1,0.7,1,1,1,1,1,1,0,1,0.9,0.625,0.8333333333333334,0.8,1,0.5,1,0.2,1,0.9,0,1,1,1,0.8,1,1,1,0,1,1,1,1,0.2,0.3,0.9,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0.8,0.8,1,1,0.4,1,1,1,0.5,0.5,1,0.8,1,0.2,1,0,0.1,0.1,0.2,0.2,1,0.9,1,1
Trib to W Fork Mojave River,19,34.28497,-117.37862,1123,14,601,5,41.2,885,7.4,21.6,310,23,1,0.8333333333333334,1,0.375,1,1,0.125,0.125,0.125,0.125,1,1,1,1,0.125,0.5,0.16666666666666666,0.16666666666666666,0.125,0,1,1,0.75,0,0.875,0.875,1,1,1,1,1,1,1,0.875,1,1,0.625,0.875,0.625,0.375,0.5,0.6666666666666666,0.875,1,0.75,0,1,1,1,1,1,1,0,1,0.375,0.16666666666666666,0.25,1,1,1,0.125,1,1,0.25,1,1,0,1,1,1,0.125,0.75,0.75,1,1,1,1,0.625,0.5,0.625,1,1,1,0.125,1,0.125,1,1,0.875,1,0.875,1,0.375,1,1,0,0.125,1,0.25,1,1,1,1,0,0.8333333333333334,1,1,1,0.5,0.5,1,0.875,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.125,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.5,1,1,1,1,1,0,1,1,1,0.16666666666666666,0.5,1,0.75,1,0.625,1,0,0,0,0,0,1,1,1,1
Manzana Creek,20,34.77171,-119.94363,543,16.1,617,2,44.1,946,9.9,23.4,362,2,0.5,1,1,1,1,1,0,0,0,0,1,1,0.5,1,0.75,1,0.75,0.75,0.75,0,1,1,0.75,0.25,1,1,1,1,1,1,1,1,1,0.75,1,0.5,0,0.5,0.75,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.5,0.5,0.75,1,1,0.75,0,1,1,0,1,1,0,1,1,1,0,0.75,0.5,1,1,1,0.75,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,0.25,1,1,0.5,1,1,1,1,1,1,1,0,1,0.5,1,1,0.5,0.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.5,1,1,1,1,1,0.75,1,1,1,1,0.75,1,0.75,1,0.5,1,0,0.25,0.5,0.25,0.25,1,1,1,1
Paradise Creek,21,36.51776,-118.75877,920,13.4,778,14,42.4,833,5.7,22.3,370,22,1,0.16666666666666666,1,0.4,1,0.75,1,0.4,0.25,0.4,0.9,0.9,1,1,1,1,1,0.8,1,0.5,1,1,0.8,1,1,1,0.7,0.8,0.8,0.8,1,1,1,0.8,0.9,0.7,0.4,0.7,0.9,0.8,0.7,0.8,1,1,1,0.2,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.5,1,1,1,1,1,1,0.4,1,1,0,1,1,0,1,1,1,0.5,0.6,0.2,0.7,0.375,1,0.6,0.625,0.5,0.5,0.5,0.4,1,1,1,0.5,1,1,1,0.9,0.9,1,0.7,0.8,0.7,0.7,0.9,1,1,0.7,1,1,1,0,1,0.9,1,1,1,0.5,1,1,0,1,1,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.125,0.1,0.1,0.5,0.1,0.6,0.125,0.6,0.1,1,0.2,0.7,0,0.6,0.5,0.1,0.5,0.5,0.2,0.7,0.6,0.7,0.5,0.2,0.2,0,1,0.7,1,1,1,1,1,0.8,1,0.5,1,0.9,0.9,1,0.7,1,0,1,0.5,1,1,1,1,0.7,0.9,1,1
North Fork Seep,22,36.52105,-118.89359,482,16.8,604,3,44.7,983,8.7,25.8,290,16,1,1,1,0.5,1,0.625,1,0.625,0.625,0.625,0.75,0.75,0.75,1,0.375,0.625,0.625,0.625,0.625,0.3333333333333333,0.625,0.625,0.625,0.875,0.75,0.75,0.875,1,0.875,0.75,1,1,1,0,1,0.875,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.625,1,1,1,1,1,1,0.6666666666666666,0.875,1,1,1,1,1,0.625,0,1,1,0.25,1,1,0,1,1,1,0.875,0.375,1,0.75,0.875,1,0,0.625,0.875,0.8333333333333334,0,0.5,1,1,0.75,0.25,0.75,0.75,0.75,1,1,1,1,0.875,0.125,0.75,0.75,1,0.75,0.625,1,0.875,1,0,0.625,1,0.875,1,1,0.75,1,1,1,1,1,0.625,0.375,1,0.8333333333333334,0.75,0.5,0.375,0.5,0.625,0.625,0.5,1,0.5,0.875,0.5,1,0.625,1,0.5,0.875,0.75,0.875,0.75,0.5,1,1,0.5,0.875,0.875,0.875,0.875,0.5,0.625,0.8333333333333334,1,1,1,1,1,1,1,0.875,1,1,0.75,0.75,0.75,0.5,0.75,1,0.125,0.625,0.375,0.75,0.75,0.75,0.75,1,0.5,1,1
Baker Creek,23,37.15761,-118.3334,1435,13.2,188,6,42.6,1156,4,23.1,90,27,1,1,1,0.6666666666666666,1,0.8333333333333334,0.75,0,0,0,0.4166666666666667,0.7,0.5833333333333334,1,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0,0.75,0.8,0.8333333333333334,1,1,1,0.25,0.25,0.25,0.3333333333333333,1,1,1,0.75,0.75,0.9166666666666666,0.8333333333333334,0.4,0.9,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.25,1,1,0.75,1,1,1,1,1,1,0.08333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,1,1,0.6666666666666666,0.5,0.9166666666666666,0.9166666666666666,0.16666666666666666,1,0.9166666666666666,0.08333333333333333,1,1,0.9166666666666666,0.5,0.5833333333333334,0.8333333333333334,1,0.9166666666666666,0.9,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.25,0.8333333333333334,0.9166666666666666,0.4166666666666667,1,0.8333333333333334,1,1,1,1,0.9166666666666666,1,0.25,1,0.3333333333333333,1,1,1,1,0.08333333333333333,1,0.6666666666666666,1,0,0.5,0.16666666666666666,1,1,0.4166666666666667,0.6666666666666666,1,1,0.8,0.5,1,0.75,0.5833333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.5833333333333334,0.75,0.9,0.6666666666666666,0.75,0.625,0.8333333333333334,0.75,0.5833333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,0.6666666666666666,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.16666666666666666,1,0.2,1,1,1,1,1,0.8333333333333334,1,0.5833333333333334,1,0.5833333333333334,0.4166666666666667,0.75,1,1,0.16666666666666666,0.8333333333333334,0.5,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1,1
Unknown Creek,24,37.3592,-119.34498,1154,13,925,17,41.4,811,5.9,21.4,481,19,0.85,0.625,1,0.8,0.9444444444444444,0.8888888888888888,0.7,0.2222222222222222,0.35,0.25,0.9,0.9444444444444444,0.85,0.9,0.7,0.5,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.16666666666666666,0.4,0.5555555555555556,0.3888888888888889,1,1,1,0.8,0.7222222222222222,0.7777777777777778,0.75,1,1,1,0.75,1,0.95,0.4,0.7777777777777778,0.95,0.5,0.55,0.55,1,1,1,0.25,0.9,0.9,1,1,1,1,0.2,1,1,1,1,1,1,0.7777777777777778,0.6,0.95,1,0.05,0.9444444444444444,0.95,0.05,0.95,1,1,0.7222222222222222,0.6,0.4375,0.3888888888888889,0.75,1,0.2777777777777778,0.75,0.75,0.75,0.45,0.6,0.9,1,0.9,0.4,0.4,0.3333333333333333,0.65,0.3333333333333333,0.9,1,0.4444444444444444,0.65,0.5,1,0.85,0.8,0.8,0.85,0.85,0.7,0.85,0,1,0.9,0.3888888888888889,0.65,1,0.1875,1,1,0.15,1,1,0.3125,0.35,0,0.25,0.25,0.16666666666666666,0.3,0.3333333333333333,0.3333333333333333,0.3,0.3,0.8888888888888888,0.3,0.75,0.42857142857142855,0.8,0.2777777777777778,1,0.2777777777777778,0.8,0.4,0.8,0.8,0.3,0.8,0.8,0.25,0.8333333333333334,0.8,0.8,0.75,0.2777777777777778,0.35,0.3,0.85,0.8333333333333334,0.9375,0.8,0.8333333333333334,0.9444444444444444,0.9,0.95,1,0.9,0.9,1,1,1,0.8333333333333334,1,0.15,0.9,0.85,0.9444444444444444,0.95,0.95,0.9,0.7,0.8,1,0.95
Crane Creek,25,37.70377,-119.75363,1311,11.6,926,26,40.6,752,4.9,19.7,461,17,0.9,0.5833333333333334,1,0.5,1,0.75,0.8,0.6,0.5,0.5,0.75,0.9375,0.8125,1,0.3,0.25,0.25,0.25,0.25,0.07142857142857142,0.2777777777777778,0.45,0.15,1,0.95,0.95,0.9,0.9,0.9444444444444444,0.9375,0.9,1,1,0.3,0.95,0.9,0.75,0.3,0.95,0.85,0.85,0.85,1,0.95,1,0.3,0.9,0.9,1,1,1,1,0.6,0.8,1,1,1,0.8,0.9,0.85,0.45,0.7,0.75,0.35,0.7777777777777778,0.75,0.25,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.9,0.3,0.85,0.55,0.7,1,0.16666666666666666,0.3,0.3,0.25,0.4,0.35,1,1,0.95,0.6,0.5,0.4444444444444444,0.65,0.4,0.95,1,0.55,0.9,0.4,1,0.8,0.8,0.8,1,1,0.8333333333333334,1,0.25,1,0.75,0.75,1,1,0.4,0.8,1,0.3333333333333333,1,1,0.3,0.3,0.4,0.2777777777777778,0.4,0.35,0.3,0.35,0.4,0.3,0.3,0.7,0.4,0.5,0.3333333333333333,0.6,0.4,1,0.4,0.5,0.4375,0.5,0.5,0.45,0.45,0.5,0.45,0.6,0.5,0.5,0.6,0.5555555555555556,0.5,0.55,0.35,0.85,1,1,0.95,1,0.95,0.6111111111111112,1,0.5555555555555556,0.8333333333333334,0.95,0.9,0.85,0.85,1,0.4,0.45,0.8,1,1,1,1,0.95,0.6111111111111112,0.95,0.9
Tenaya Creek - Yosemite,26,37.743,-119.562,1220,10.3,913,59,40.9,755,2.7,19,437,32,0.875,0.8333333333333334,1,0.25,1,1,1,0.125,0.125,0,1,0.625,0.625,0.8333333333333334,0.375,0.25,0.375,0.375,0.375,0.25,0.25,0.3333333333333333,0.3333333333333333,1,1,1,0.8333333333333334,0.75,0.625,0.375,1,1,1,0.5,1,1,0.75,0.5,0.5,0.375,0.75,0.5,1,0.875,1,0,0.6666666666666666,0.625,1,1,1,1,0.125,0.625,0.875,1,0.875,0.625,1,1,1,1,1,0.125,0.875,0.875,0.25,0.875,0.75,1,1,0.375,0.875,0.75,0.875,1,0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.375,1,1,0.625,0.5,0.6666666666666666,0.75,0.5,0.625,1,1,1,1,0.5,1,0.625,0.625,0.625,0.5,1,0.875,1,0.25,1,1,1,0.75,1,0,1,1,0.5,1,0.875,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.3333333333333333,0.25,1,0.25,0.25,0.25,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.375,0.5,0.625,0.8333333333333334,1,0.6666666666666666,0.625,0.625,0.6666666666666666,0.625,1,0.75,1,1,1,0.875,1,1,0.125,0.875,1,0.625,0.875,0.75,0.625,1,1,1,0.875
Buck Meadows,27,37.7769,-120.063,842,13.2,913,14,43.1,841,6.2,21.4,448,18,0.5,1,1,0.25,1,1,0.5,0.75,0.75,0.75,1,1,1,1,0.75,0,0,0,0,0,0,0,0,1,0.25,0.25,1,0.75,0.75,0.75,1,1,1,0,1,0.75,0.25,0.25,1,1,1,1,0.5,0.25,1,0.5,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.25,0.5,0.75,1,0.5,0.5,0.5,1,0.5,0.75,0.75,0.25,0.75,1,1,1,1,0.25,0.25,0.5,0,0.25,0.5,1,1,1,0.5,0.5,0.75,0.25,1,1,0.75,1,0,0.75,0,0.5,0,1,1,1,1,1,1,1,0.5,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.75,1,1,1,0.5,1,1,0.5,1,1,1,0.75,1,0.5,0.5,0.25,0.5,0.5,1,0.5,1,1,1,1
