chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
CE10_chr1_41676505,8,10,8,2,3,11,3,7,2,10,1,19,0,14,0,8,3,13,0,16,0,20,16,4,12,10,3,15,11,9,6,6,16,2,3,7,2,6,3,1,8,2,5,3,10,2,6,10,6,12,2,6,0,2,0,0,1,7,2,2,2,0,7,7,0,14,3,15,0,12,0,16,1,17,1,3,5,15,4,6,0,8,8,10,3,7,0,4,2,4,9,7,0,10,0,12,0,18,0,4,0,2,0,4,0,4,0,0,1,19
CE10_chr1_41676527,8,10,8,2,3,11,3,7,2,10,1,19,0,14,0,8,4,14,0,16,0,20,16,4,13,9,3,15,11,9,6,6,16,2,3,7,2,6,4,0,8,2,5,3,10,2,9,9,6,12,2,6,0,2,0,0,1,5,2,2,2,0,7,7,0,14,3,15,0,14,1,17,1,17,0,4,6,14,4,6,0,8,10,10,3,7,0,4,1,5,10,6,0,10,0,12,0,18,0,4,0,2,0,4,0,4,0,0,1,19
CE10_chr1_41678524,9,9,9,1,5,9,3,7,5,9,0,16,1,15,0,8,6,12,1,19,1,19,20,0,13,9,19,1,18,2,11,3,15,3,7,1,6,2,3,1,8,2,5,3,10,2,7,11,3,17,2,4,0,4,0,2,1,7,2,2,2,0,7,7,0,18,1,17,0,12,1,15,3,17,1,3,9,11,5,5,0,8,8,10,3,7,0,4,2,6,9,7,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,2,18
CE10_chr1_44654688,6,10,4,6,14,0,10,0,14,0,19,1,15,1,8,0,18,0,20,0,19,1,13,7,10,12,13,7,6,14,0,14,3,15,7,3,0,8,1,3,10,0,7,1,12,0,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,18,0,20,0,4,0,18,2,10,0,8,0,18,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,15,5
CE10_chr2_2890930,0,0,0,0,2,0,0,0,0,0,8,0,4,0,0,0,6,0,4,0,6,0,0,4,0,4,0,2,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,10,0,0,0,10,0,4,0,0,0,0,0,6,0,4,0,0,0,4,0,0,0,6,0,0,0,4,0,4,0,0,0,2,0,2,0,0,2,10,0,8,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,4,0
CE10_chr2_13563156,16,2,10,0,8,0,2,0,3,3,12,0,7,1,8,0,18,0,20,0,20,0,20,0,22,0,20,0,20,0,14,0,16,0,8,0,8,0,4,0,2,0,6,0,8,0,14,0,9,1,2,0,2,0,2,0,1,1,4,0,1,1,8,0,11,3,6,0,11,1,10,0,18,0,2,0,17,1,6,0,8,0,7,1,10,0,4,0,8,0,12,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,1,1,15,1
CE10_chr2_22904891,16,0,6,0,14,0,10,0,14,0,20,0,16,0,8,0,18,0,20,0,20,0,18,0,9,1,10,0,18,0,14,0,16,0,8,0,8,0,4,0,10,0,8,0,12,0,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,18,0,20,0,4,0,20,0,10,0,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,18,0
CE10_chr2_41091592,12,4,8,0,0,14,0,8,1,11,8,8,2,14,0,2,2,14,6,6,4,14,18,0,22,0,20,0,20,0,14,0,16,0,10,0,8,0,4,0,3,7,0,8,0,12,1,19,2,16,0,6,0,2,0,2,2,6,1,1,0,2,0,12,0,18,0,18,0,16,3,15,8,10,2,2,8,10,3,5,0,4,4,16,2,8,0,4,2,6,2,12,3,5,3,7,0,20,0,0,0,2,0,4,1,5,1,1,0,16
CE10_chr2_44949494,2,8,0,2,9,3,6,2,9,3,15,3,0,12,0,0,0,4,0,4,0,10,0,14,0,20,0,14,0,16,0,10,0,8,0,4,0,2,0,4,10,0,6,0,0,4,10,0,13,1,0,0,0,4,0,2,3,1,2,0,0,0,2,4,5,3,4,8,1,13,4,0,9,1,0,2,4,8,4,2,0,2,10,8,0,0,0,4,0,8,0,4,0,0,0,2,0,10,0,2,0,0,0,4,0,4,0,2,0,12
CE10_chr2_53388916,16,2,10,0,12,2,10,0,10,2,11,9,16,0,8,0,18,0,19,1,17,3,20,0,22,0,17,3,15,5,13,1,18,0,9,1,5,3,3,1,9,1,4,4,9,1,19,1,19,1,4,4,4,0,2,0,8,0,2,2,1,1,6,8,18,2,19,1,13,3,9,7,20,0,2,2,13,7,7,3,8,0,5,15,10,0,4,0,6,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr2_53399591,0,12,0,6,11,3,10,0,8,4,8,12,14,2,8,0,14,4,18,2,16,4,0,6,0,14,0,12,0,16,0,6,2,10,0,4,3,5,0,4,8,2,4,4,4,8,10,10,17,3,3,5,4,0,2,0,8,0,2,2,1,1,4,10,20,0,18,2,16,0,12,6,16,4,2,2,10,8,4,4,8,0,5,15,9,1,4,0,5,1,14,2,10,0,14,0,20,0,6,0,2,0,4,0,4,0,2,0,18,0
CE10_chr2_53400478,0,18,1,7,9,5,9,1,9,5,10,8,14,2,8,0,12,4,18,2,13,3,0,20,0,22,0,20,0,18,0,14,2,16,0,10,4,4,0,4,7,3,4,4,5,7,11,9,17,3,6,2,4,0,2,0,8,0,2,2,1,1,4,10,19,1,17,3,15,1,10,6,17,3,2,2,10,10,5,5,8,0,2,16,9,1,3,1,5,3,14,2,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,19,1
CE10_chr2_53401321,0,18,1,9,8,4,10,0,8,4,10,8,14,2,8,0,12,4,19,1,15,5,0,18,0,22,1,19,0,20,0,14,2,14,0,10,4,2,0,4,8,2,4,4,5,7,11,9,17,3,4,4,4,0,2,0,8,0,2,2,1,1,5,9,20,0,18,2,13,1,10,8,19,1,2,2,16,4,6,4,8,0,18,2,9,1,4,0,5,1,14,2,10,0,14,0,20,0,6,0,2,0,4,0,6,0,1,1,18,2
CE10_chr4_9736713,18,0,10,0,14,0,10,0,13,1,18,2,15,1,8,0,16,0,17,3,20,0,20,0,22,0,20,0,19,1,14,0,18,0,10,0,8,0,4,0,10,0,8,0,12,0,20,0,20,0,4,4,4,0,2,0,8,0,2,2,2,0,14,0,20,0,19,1,16,0,18,0,5,15,4,0,16,4,10,0,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,0,0,20,0
CE10_chr4_45367078,18,0,10,0,14,0,8,0,14,0,20,0,12,4,8,0,16,2,20,0,19,1,20,0,22,0,20,0,20,0,14,0,18,0,10,0,8,0,4,0,10,0,8,0,12,0,20,0,16,4,5,3,4,0,2,0,8,0,4,0,2,0,12,0,11,9,10,10,9,7,15,1,19,1,4,0,17,3,10,0,6,2,18,0,10,0,4,0,8,0,16,0,10,0,14,0,19,1,6,0,2,0,4,0,6,0,2,0,18,2
CE10_chr5_6592466,16,2,8,0,14,0,10,0,13,1,12,8,16,0,8,0,16,0,19,1,20,0,20,0,21,1,18,2,20,0,11,3,13,5,10,0,8,0,3,1,10,0,5,3,8,4,14,4,17,3,8,0,4,0,2,0,5,3,3,1,2,0,7,7,17,3,16,4,14,2,14,0,16,2,1,3,19,1,7,3,8,0,10,10,6,2,4,0,8,0,14,2,10,0,14,0,19,1,6,0,2,0,4,0,6,0,2,0,15,1
CE10_chr5_8751850,0,12,2,6,14,0,9,1,11,3,16,4,14,0,5,3,16,2,12,6,11,9,11,9,0,12,0,14,0,16,0,8,3,15,0,10,1,7,0,4,4,6,0,8,6,6,12,8,9,11,8,0,1,3,0,2,1,7,4,0,1,1,8,6,20,0,18,2,14,2,18,0,20,0,4,0,14,6,7,3,4,2,20,0,10,0,2,2,6,2,12,4,8,0,11,3,8,12,6,0,2,0,3,1,1,5,1,1,10,10
CE10_chr5_9882430,18,0,9,1,11,3,4,4,14,0,6,14,4,10,7,1,5,13,5,15,13,7,20,0,22,0,20,0,20,0,14,0,18,0,8,0,6,0,4,0,10,0,8,0,11,1,19,1,15,5,7,1,2,2,1,1,8,0,2,2,2,0,10,2,9,9,13,7,3,13,1,15,7,13,4,0,10,10,8,2,5,3,14,4,10,0,4,0,7,1,15,1,4,4,7,7,4,14,0,6,1,1,2,2,5,1,2,0,18,2
CE10_chr5_35111467,4,0,0,0,14,0,10,0,10,0,20,0,14,0,8,0,16,0,20,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,8,0,8,0,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,16,0,20,0,4,0,16,0,10,0,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,0,0,20,0
CE10_chr5_47349886,4,0,0,0,4,2,4,0,0,4,0,4,0,4,0,2,6,0,5,7,0,4,0,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,2,0,4,2,2,0,0,0,4,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,2,2,2,6,2,0,2,2,2,2,0,0,0,0,0,4,0,4,0,4,0,0,2,2,2,8,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0
CE10_chr6_257233,14,4,4,6,13,1,9,1,14,0,20,0,15,1,8,0,18,0,20,0,20,0,20,0,14,8,14,6,9,7,12,2,11,7,9,1,8,0,4,0,3,5,7,1,11,1,15,5,14,6,7,1,4,0,2,0,8,0,4,0,2,0,9,5,20,0,20,0,16,0,18,0,20,0,4,0,20,0,9,1,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr6_1416066,11,1,4,0,12,0,8,0,10,0,12,0,16,0,8,0,15,1,20,0,18,0,7,1,1,1,19,1,3,1,2,0,9,1,4,0,2,0,2,0,10,0,8,0,9,1,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,18,0,20,0,12,0,16,0,20,0,4,0,14,0,10,0,8,0,20,0,10,0,4,0,8,0,16,0,8,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,17,1
CE10_chr6_2752344,17,1,10,0,7,7,6,4,10,4,5,15,9,7,8,0,14,4,10,8,7,13,19,1,21,1,19,1,19,1,14,0,13,3,8,0,5,3,4,0,5,3,5,3,2,10,15,5,6,14,3,5,1,3,0,2,6,2,1,3,1,1,12,2,0,20,0,20,0,14,0,18,0,20,0,4,3,17,4,6,8,0,6,10,6,4,2,2,7,1,13,3,7,3,4,10,12,8,5,1,1,1,4,0,2,4,1,1,12,8
CE10_chr6_2755792,15,1,9,1,6,6,7,3,11,3,6,14,7,9,7,1,12,4,11,9,8,12,17,1,21,1,19,1,19,1,14,0,13,5,10,0,4,4,4,0,5,5,7,1,2,10,15,5,6,14,4,2,1,3,0,2,6,2,1,3,2,0,12,2,0,18,0,20,0,16,0,18,0,20,0,4,4,16,4,6,7,1,5,13,4,6,2,2,6,2,12,4,7,3,4,10,12,8,3,3,1,1,4,0,2,4,1,1,13,3
CE10_chr6_2755852,16,0,10,0,6,6,6,2,11,1,4,16,8,8,7,1,13,3,9,11,8,12,19,1,21,1,19,1,19,1,14,0,13,5,10,0,5,3,4,0,5,5,5,1,2,8,15,5,5,15,4,2,2,2,0,2,6,2,2,2,2,0,12,2,0,18,0,20,0,16,0,18,0,18,0,2,3,13,4,6,7,1,5,15,4,6,2,2,6,2,13,3,7,3,5,9,10,6,3,1,2,0,4,0,1,3,1,1,13,5
CE10_chr6_8042005,0,8,0,0,3,7,1,9,4,8,11,3,6,4,0,0,0,16,0,4,0,4,0,20,4,10,1,11,0,6,0,4,2,12,0,6,0,4,0,0,6,2,4,2,0,8,3,17,2,16,1,5,0,0,0,0,0,8,0,2,0,2,0,14,0,20,0,20,2,12,0,14,0,14,2,0,2,16,4,6,0,0,20,0,0,0,2,0,0,2,2,4,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,6
CE10_chr6_43994358,17,1,9,1,6,8,3,7,7,7,7,11,5,9,2,6,0,18,2,16,3,15,20,0,22,0,20,0,20,0,14,0,18,0,10,0,8,0,4,0,4,6,4,4,10,2,12,8,7,13,3,5,1,3,0,2,4,4,3,1,1,1,14,0,4,16,0,16,8,8,6,12,4,14,1,3,7,11,7,3,0,8,0,18,0,8,3,1,2,6,2,14,0,10,0,14,0,18,0,6,0,2,0,4,0,6,1,1,0,18
CE10_chr6_60718601,5,13,1,9,13,1,9,1,11,3,18,2,14,2,8,0,18,0,19,1,20,0,1,19,0,18,1,11,3,13,0,14,2,14,0,8,0,6,1,1,7,3,6,2,12,0,20,0,20,0,8,0,3,1,2,0,7,1,4,0,2,0,13,1,17,3,20,0,16,0,18,0,12,8,4,0,13,7,7,3,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,3,1,6,0,1,1,18,0
CE10_chr7_11015414,10,8,6,4,14,0,10,0,12,2,20,0,14,2,8,0,18,0,20,0,19,1,13,7,6,16,9,11,5,13,7,7,18,0,10,0,7,1,4,0,10,0,8,0,12,0,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,16,0,20,0,4,0,19,1,10,0,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr7_11303734,7,1,2,0,4,0,0,0,0,0,6,0,10,0,6,0,16,0,10,0,8,0,7,3,5,1,19,1,19,1,11,1,0,0,0,0,6,0,0,0,2,0,2,0,2,0,14,0,6,0,2,0,4,0,2,0,2,0,2,0,0,0,10,0,2,0,12,0,8,0,16,0,12,0,4,0,8,0,4,0,6,0,2,0,2,0,2,0,0,0,4,0,10,0,0,0,16,0,6,0,2,0,4,0,4,0,2,0,8,0
CE10_chr7_18760873,4,4,1,3,14,0,10,0,12,2,20,0,14,2,8,0,18,0,20,0,18,0,0,10,0,6,0,12,0,8,0,6,2,4,0,0,0,2,0,0,10,0,8,0,4,2,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,18,0,20,0,4,0,17,1,8,0,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,1,1,20,0
CE10_chr7_23178958,4,14,2,8,14,0,10,0,12,2,20,0,14,2,8,0,18,0,20,0,17,3,0,20,0,20,0,20,0,18,0,14,2,16,0,10,0,8,0,2,10,0,8,0,6,6,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,18,0,20,0,4,0,17,3,9,1,8,0,20,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr7_23731913,18,0,10,0,12,0,10,0,7,1,8,0,16,0,0,0,2,6,6,0,18,0,20,0,22,0,20,0,20,0,12,0,18,0,10,0,8,0,4,0,10,0,5,1,8,0,18,0,12,0,6,0,4,0,2,0,2,0,0,0,0,0,3,7,12,2,6,0,14,0,10,0,6,0,2,0,16,0,4,0,2,2,20,0,6,0,0,0,6,2,4,0,6,0,3,1,14,0,6,0,2,0,4,0,4,0,2,0,12,0
CE10_chr7_28948567,16,2,10,0,12,0,10,0,12,2,17,1,14,2,8,0,18,0,19,1,19,1,18,0,22,0,20,0,20,0,12,0,18,0,8,0,8,0,4,0,10,0,8,0,12,0,20,0,20,0,7,1,4,0,2,0,8,0,3,1,2,0,10,2,12,8,12,6,8,8,7,9,6,14,3,1,16,4,10,0,8,0,20,0,10,0,4,0,8,0,15,1,10,0,11,3,20,0,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr7_28981283,14,4,7,1,0,12,0,10,7,3,12,8,2,14,4,4,0,18,1,19,5,15,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,3,5,3,9,3,5,11,6,14,0,6,0,4,0,2,2,6,1,3,0,2,10,2,4,16,1,15,0,14,0,18,8,10,1,3,5,11,2,6,0,8,2,14,0,10,3,1,0,8,6,6,2,8,2,12,0,20,0,6,0,2,1,1,3,3,0,2,9,11
CE10_chr7_28997091,14,2,10,0,5,7,4,4,12,2,9,11,3,11,3,5,0,16,1,17,4,16,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,6,4,7,1,9,3,16,4,10,10,2,6,0,4,0,2,5,3,3,1,2,0,11,3,8,10,7,11,2,14,6,10,7,11,1,3,8,6,2,6,0,8,3,17,0,10,3,1,0,8,6,8,2,8,3,11,0,20,0,6,0,2,1,3,3,1,0,0,7,13
CE10_chr7_29003536,14,4,7,3,0,14,0,10,7,7,10,8,2,12,2,6,0,18,3,17,4,16,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,3,5,7,5,7,13,6,14,0,8,0,4,0,2,2,6,1,3,0,2,10,4,6,14,3,17,0,16,0,16,7,11,1,3,7,11,3,7,0,8,4,14,0,8,3,1,0,8,7,7,3,7,3,11,0,20,0,6,0,2,1,3,2,4,0,2,9,9
CE10_chr7_29107369,14,4,9,1,0,12,0,6,8,2,10,10,2,14,2,6,0,18,1,19,1,17,20,0,20,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,6,0,6,2,0,6,8,12,0,6,0,2,0,2,2,2,1,3,0,2,10,4,6,12,1,15,0,14,0,12,7,13,1,3,5,13,3,5,0,8,4,16,0,10,4,0,0,8,7,7,3,7,3,11,0,20,0,4,0,2,1,3,2,4,0,2,11,7
CE10_chr7_29107623,15,1,8,0,6,4,4,2,10,0,6,0,3,1,0,0,1,1,0,0,4,0,20,0,22,0,20,0,20,0,14,0,16,0,10,0,8,0,4,0,2,2,6,0,8,0,15,1,8,2,2,0,0,0,0,0,6,2,0,0,0,0,8,0,3,1,4,0,4,2,4,4,0,0,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
CE10_chr7_29157516,14,4,8,2,0,12,0,10,7,7,10,10,2,14,3,5,0,14,1,15,2,16,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,4,4,7,5,4,16,6,14,0,8,0,4,0,2,2,4,1,3,0,0,11,3,5,15,3,17,0,14,0,16,8,12,0,4,5,15,2,8,0,6,4,16,0,6,1,1,0,6,3,11,3,7,2,12,0,12,0,0,0,2,1,3,2,4,1,1,7,9
CE10_chr7_29158559,14,0,8,2,0,10,0,10,4,0,8,6,2,12,2,6,0,14,0,16,4,16,18,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,5,1,9,3,2,6,5,13,0,8,0,4,0,2,2,6,0,2,0,2,9,3,6,8,0,12,0,8,0,10,0,2,2,2,4,8,2,8,0,8,3,17,0,10,2,2,0,4,7,7,2,8,1,9,0,18,0,6,0,2,0,2,2,4,1,1,5,9
CE10_chr7_29161404,14,4,7,3,0,14,0,10,6,6,10,8,2,14,2,6,0,18,1,19,5,15,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,6,2,8,4,5,15,8,12,0,8,0,4,0,2,2,6,1,3,0,2,11,1,5,15,2,18,0,16,0,18,9,11,1,3,6,14,2,8,0,8,2,16,0,10,3,1,0,8,7,9,2,8,3,11,0,20,0,6,0,2,1,1,2,2,2,0,7,13
CE10_chr7_29208220,14,4,9,1,0,14,0,10,7,7,9,9,2,14,2,6,0,18,1,17,2,16,20,0,22,0,19,1,20,0,14,0,16,0,10,0,8,0,4,0,1,9,4,4,8,4,3,15,7,13,0,8,0,4,0,2,2,6,1,3,0,2,11,3,4,16,2,18,0,14,0,18,6,14,2,2,6,14,2,8,0,8,3,17,0,10,3,1,0,8,5,11,2,8,3,9,0,18,0,6,0,2,1,3,2,4,0,2,8,10
CE10_chr7_29209726,14,4,8,2,0,10,0,6,6,2,9,9,2,14,2,6,0,18,1,19,5,15,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,0,0,2,8,3,1,8,2,0,6,6,10,0,6,0,4,0,2,2,4,1,1,0,2,11,3,5,15,3,17,0,14,0,16,9,11,1,3,6,14,3,7,0,8,3,9,0,4,3,1,0,6,6,10,3,7,2,12,0,20,0,6,0,2,1,3,2,4,2,0,5,11
CE10_chr7_29391174,12,4,7,1,0,14,0,10,7,5,10,10,2,14,2,6,0,18,2,18,3,15,18,0,20,0,20,0,20,0,14,0,16,0,10,0,8,0,4,0,1,9,3,5,8,4,6,14,6,14,0,8,0,4,0,2,2,6,1,3,0,2,9,5,6,14,2,18,0,14,0,18,6,10,2,2,6,12,3,5,0,8,4,14,0,10,2,0,0,8,6,8,2,8,2,12,0,20,0,6,0,2,3,1,2,4,1,1,7,11
CE10_chr7_29659045,14,4,9,1,0,14,0,10,8,6,10,10,2,14,2,6,0,16,2,16,4,16,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,9,4,4,8,4,6,12,7,13,0,8,0,4,0,2,2,6,1,3,0,2,10,4,5,15,2,18,0,16,0,16,8,10,1,3,6,14,1,7,0,8,3,17,0,10,3,1,0,8,6,10,1,9,2,12,0,20,0,6,0,2,1,3,3,3,1,1,7,13
CE10_chr7_29724587,14,4,8,2,0,12,0,6,8,6,11,7,2,12,3,5,0,16,1,19,4,16,20,0,22,0,20,0,20,0,14,0,16,2,10,0,8,0,4,0,1,7,5,3,6,4,6,12,8,12,0,8,0,4,0,2,2,6,1,3,0,2,12,2,5,15,2,16,0,16,0,12,2,14,2,2,7,11,4,6,0,8,3,13,0,6,2,0,0,6,7,9,3,7,2,8,0,20,0,6,0,2,2,2,1,5,0,2,6,12
