chr_snp,Env,BF
CE10_chr1_1157604,1,-9.66539765
CE10_chr1_1157629,1,-7.83204105
CE10_chr1_1157988,1,-11.56482717
CE10_chr1_1158042,1,-7.12151691
CE10_chr1_1158119,1,-7.89617779
CE10_chr1_1158197,1,-8.41859553
CE10_chr1_1158223,1,-7.964286
CE10_chr1_1158235,1,-8.10557109
CE10_chr1_1158282,1,-7.92639572
CE10_chr1_1158308,1,-10.05635814
CE10_chr1_1158336,1,-0.62082832
CE10_chr1_1158403,1,-9.62833804
CE10_chr1_1158433,1,-15.22220119
CE10_chr1_1158450,1,-4.23347062
CE10_chr1_1158958,1,-6.90587956
CE10_chr1_1159076,1,-9.99558093
CE10_chr1_1159114,1,-11.81034356
CE10_chr1_1159127,1,-8.10702992
CE10_chr1_1159183,1,-10.7325142
CE10_chr1_1159512,1,-7.92332132
CE10_chr1_1159557,1,-6.4781473
CE10_chr1_1159630,1,2.34111616
CE10_chr1_1159659,1,-10.21850361
CE10_chr1_1159702,1,-11.62330779
CE10_chr1_1159707,1,-7.53078378
CE10_chr1_1159718,1,-7.65100903
CE10_chr1_2930643,1,-4.85853038
CE10_chr1_2931258,1,-10.39776503
CE10_chr1_2931273,1,-7.78563113
CE10_chr1_2931340,1,-8.02745427
CE10_chr1_2931360,1,-8.49082231
CE10_chr1_2931731,1,-8.16056431
CE10_chr1_2931824,1,-7.35135395
CE10_chr1_2932111,1,-8.08798813
CE10_chr1_2932206,1,-7.61027275
CE10_chr1_2932248,1,-7.7969196
CE10_chr1_2932365,1,-9.39683229
CE10_chr1_2932477,1,-4.71480956
CE10_chr1_2932569,1,-9.77931217
CE10_chr1_2932920,1,-10.75226629
CE10_chr1_2932973,1,-6.44305691
CE10_chr1_2933057,1,-9.68018234
CE10_chr1_2933110,1,-9.25855222
CE10_chr1_2933269,1,-7.96480809
CE10_chr1_2933348,1,-8.14101212
CE10_chr1_2933379,1,0.83809331
CE10_chr1_2933414,1,-7.53033917
CE10_chr1_2933443,1,-7.76299089
CE10_chr1_2933480,1,-7.08449902
CE10_chr1_2933521,1,3.73298353
CE10_chr1_2933555,1,-7.73542298
CE10_chr1_2933594,1,-6.5619729
CE10_chr1_2933638,1,-8.51241808
CE10_chr1_2933711,1,-10.05153178
CE10_chr1_2933769,1,-13.30904496
CE10_chr1_2933777,1,4.6722653
CE10_chr1_2933923,1,-10.58696606
CE10_chr1_2933952,1,-7.07353144
CE10_chr1_2933988,1,-7.48588546
CE10_chr1_2934055,1,2.38962395
CE10_chr1_2934127,1,-7.96778949
CE10_chr1_2934237,1,-10.95542217
CE10_chr1_2934254,1,-10.58208017
CE10_chr1_2934351,1,-3.75003499
CE10_chr1_2934374,1,1.39312678
CE10_chr1_2934565,1,-4.90058083
CE10_chr1_2934661,1,-10.22225905
CE10_chr1_2934691,1,-7.01767335
CE10_chr1_2934824,1,-2.62580828
CE10_chr1_2934873,1,-5.27043974
CE10_chr1_2934889,1,-9.90403324
CE10_chr1_2934913,1,-10.90485559
CE10_chr1_2934982,1,-9.50873519
CE10_chr1_2935216,1,-5.41908951
CE10_chr1_2935291,1,-8.91774945
CE10_chr1_2935342,1,-8.12229328
CE10_chr1_2935453,1,-11.10434247
CE10_chr1_2935724,1,-5.22287008
CE10_chr1_2935798,1,-8.66151695
CE10_chr1_2935812,1,-6.70884224
CE10_chr1_2935896,1,-6.81404891
CE10_chr1_2935955,1,-4.44658843
CE10_chr1_2935983,1,-8.9767581
CE10_chr1_2936034,1,-6.82368897
CE10_chr1_2936053,1,-1.99579117
CE10_chr1_2936075,1,-9.46235111
CE10_chr1_2936194,1,-11.03456359
CE10_chr1_2936265,1,-9.02590084
CE10_chr1_2936339,1,-12.75043227
CE10_chr1_2937016,1,-8.69059182
CE10_chr1_2937114,1,-12.04457675
CE10_chr1_2937158,1,-3.58707233
CE10_chr1_2937187,1,1.10262197
CE10_chr1_2937352,1,-9.34117304
CE10_chr1_2937723,1,-8.63117101
CE10_chr1_2938021,1,-9.4909743
CE10_chr1_2938286,1,-7.08116647
CE10_chr1_2938352,1,-10.25394043
CE10_chr1_2938813,1,-9.2934357
CE10_chr1_2939042,1,-6.71606945
CE10_chr1_2939130,1,-4.02331146
CE10_chr1_2939207,1,-9.43389985
CE10_chr1_2939237,1,-8.09708276
CE10_chr1_2939315,1,-5.96082446
CE10_chr1_2939328,1,0.97222492
CE10_chr1_2939409,1,-8.67640683
CE10_chr1_2939516,1,-3.72832887
CE10_chr1_2939717,1,-8.15089812
CE10_chr1_2939735,1,-7.78776443
CE10_chr1_2939748,1,-9.36719102
CE10_chr1_2939789,1,-4.95131468
CE10_chr1_2939803,1,-6.13068215
CE10_chr1_2939835,1,-5.8243211
CE10_chr1_2939912,1,-8.60953292
CE10_chr1_2939928,1,-3.91129495
CE10_chr1_2939953,1,-5.87369992
CE10_chr1_2939984,1,3.80036068
CE10_chr1_2939989,1,-8.05899767
CE10_chr1_3780204,1,-12.81369985
CE10_chr1_3780360,1,-10.25430518
CE10_chr1_3780563,1,-12.14981341
CE10_chr1_3780687,1,-3.84253474
CE10_chr1_3780818,1,-9.4077489
CE10_chr1_3780822,1,-15.12861254
CE10_chr1_3780891,1,-12.77890018
CE10_chr1_3780929,1,-12.7850651
CE10_chr1_3781080,1,-11.65361919
CE10_chr1_3781620,1,-10.42415341
CE10_chr1_3781635,1,-11.67672928
CE10_chr1_3781722,1,-11.83204054
CE10_chr1_3781851,1,-13.29234306
CE10_chr1_3781921,1,-1.2932233
CE10_chr1_3782022,1,-14.62160873
CE10_chr1_3782042,1,-7.67986939
CE10_chr1_3782088,1,-13.21989282
CE10_chr1_3782202,1,-15.66409796
CE10_chr1_3782215,1,-12.13394918
CE10_chr1_3782247,1,-12.72318929
CE10_chr1_3782445,1,-10.84397578
CE10_chr1_3782463,1,-6.50465525
CE10_chr1_3782552,1,0.99586269
CE10_chr1_3782583,1,-13.79217984
CE10_chr1_3782748,1,-14.97185653
CE10_chr1_3782833,1,-8.18438976
CE10_chr1_3782867,1,-11.33670287
CE10_chr1_3783133,1,-14.25398085
CE10_chr1_3783448,1,-8.77295472
CE10_chr1_3783510,1,-12.98526098
CE10_chr1_3783803,1,-11.99656034
CE10_chr1_3784101,1,-6.38940639
CE10_chr1_3784125,1,-9.67067641
CE10_chr1_3784173,1,-11.71903082
CE10_chr1_3784222,1,-12.27749916
CE10_chr1_3784629,1,-5.19470073
CE10_chr1_3784714,1,-7.46988246
CE10_chr1_3784911,1,-8.59894478
CE10_chr1_3785164,1,-4.78281846
CE10_chr1_3785184,1,-12.35722525
CE10_chr1_3785225,1,-11.97549681
CE10_chr1_3785703,1,-6.11234315
CE10_chr1_3785717,1,-4.43231626
CE10_chr1_3785739,1,-4.37095214
CE10_chr1_3785764,1,-11.20606476
CE10_chr1_3785776,1,-2.47764953
CE10_chr1_3786168,1,-12.77433344
CE10_chr1_3786180,1,-9.71824932
CE10_chr1_3786231,1,-8.2975217
CE10_chr1_3786258,1,-12.5724633
CE10_chr1_3786781,1,-14.90079924
CE10_chr1_3786917,1,-15.00162663
CE10_chr1_3786948,1,-12.26625781
CE10_chr1_3787186,1,-9.48394138
CE10_chr1_3787268,1,-6.8394605
CE10_chr1_3787665,1,-10.91219417
CE10_chr1_3787676,1,-12.10980706
CE10_chr1_3787765,1,-11.50519399
CE10_chr1_3787768,1,-4.69067386
CE10_chr1_3787804,1,-12.52674014
CE10_chr1_3787936,1,-8.34046607
CE10_chr1_3788019,1,-11.40693589
CE10_chr1_3788035,1,-10.4220535
CE10_chr1_3788073,1,-1.13470593
CE10_chr1_3788085,1,-12.61046125
CE10_chr1_3788148,1,-5.58854784
CE10_chr1_3788157,1,-14.27401073
CE10_chr1_3788180,1,-2.49692864
CE10_chr1_3788319,1,-12.58051258
CE10_chr1_3788347,1,-11.06395264
CE10_chr1_3788388,1,-13.13502036
CE10_chr1_3788396,1,-5.18196146
CE10_chr1_3788630,1,-3.1384226
CE10_chr1_3788721,1,-6.38494625
CE10_chr1_3789007,1,-12.59543661
CE10_chr1_3789045,1,-7.23422618
CE10_chr1_3789075,1,-12.2571769
CE10_chr1_3789156,1,-12.89809313
CE10_chr1_3789175,1,-1.64936748
CE10_chr1_3789241,1,-11.35446055
CE10_chr1_3789528,1,-5.87044329
CE10_chr1_3789551,1,-11.10435034
CE10_chr1_3789663,1,-9.0611035
CE10_chr1_4642706,1,-8.61565796
CE10_chr1_4642898,1,-8.7794854
CE10_chr1_4643353,1,-7.66209964
CE10_chr1_4643404,1,-7.03583426
CE10_chr1_4643406,1,-5.24984764
CE10_chr1_4643416,1,-6.78632566
CE10_chr1_4643423,1,-12.70441941
CE10_chr1_4643438,1,-10.33446974
CE10_chr1_4643491,1,-5.58831761
CE10_chr1_4643526,1,-7.56333535
CE10_chr1_4643558,1,-8.02350381
CE10_chr1_4643583,1,-6.57434356
CE10_chr1_4643796,1,-10.27934736
CE10_chr1_4643808,1,-9.98129991
CE10_chr1_4643921,1,-7.77413682
CE10_chr1_4643939,1,-7.41508157
CE10_chr1_4643981,1,-5.8973217
CE10_chr1_4644056,1,-9.53997498
CE10_chr1_4644065,1,-9.48937333
CE10_chr1_4644090,1,-11.18795924
CE10_chr1_4644128,1,-7.51603893
CE10_chr1_4644132,1,-6.49846665
CE10_chr1_4644204,1,-7.96501607
CE10_chr1_4644291,1,-9.35981881
CE10_chr1_4644388,1,1.56542115
CE10_chr1_4644421,1,-10.09647498
CE10_chr1_4644475,1,-5.10381135
CE10_chr1_4644521,1,-8.28095051
CE10_chr1_4644693,1,-7.20144004
CE10_chr1_4644753,1,-10.38743587
CE10_chr1_4644795,1,-9.29703926
CE10_chr1_4645006,1,-6.83006115
CE10_chr1_4645187,1,-5.53195716
CE10_chr1_4645228,1,-9.1670053
CE10_chr1_4645234,1,-7.04202554
CE10_chr1_4645246,1,-9.7508215
CE10_chr1_4645312,1,-7.0035586
CE10_chr1_4645337,1,-10.69973471
CE10_chr1_4645435,1,-9.39763001
CE10_chr1_4645457,1,-8.00953931
CE10_chr1_4645522,1,-9.6262611
CE10_chr1_4645543,1,-6.36906012
CE10_chr1_4648176,1,-8.71861055
CE10_chr1_4648342,1,-9.18240722
CE10_chr1_4648495,1,-13.75774955
CE10_chr1_4648562,1,-7.09317419
CE10_chr1_4649518,1,-11.21167144
CE10_chr1_4649519,1,-9.12707396
CE10_chr1_4649541,1,-5.81883071
CE10_chr1_4649561,1,-6.18678779
CE10_chr1_4863897,1,-6.16773307
CE10_chr1_4864094,1,6.41928754
CE10_chr1_4864205,1,-7.25087596
CE10_chr1_4864334,1,-9.82495508
CE10_chr1_4864424,1,-6.24115365
CE10_chr1_4864747,1,0.60005518
CE10_chr1_4864777,1,-6.17750598
CE10_chr1_4864942,1,-7.62681559
CE10_chr1_4865008,1,-9.32272551
CE10_chr1_4865146,1,-9.49467316
CE10_chr1_4865312,1,-6.46898404
CE10_chr1_4865470,1,-5.95795501
CE10_chr1_4865500,1,-8.47552693
CE10_chr1_4865546,1,-9.46534792
CE10_chr1_4865798,1,-6.98649185
CE10_chr1_4865857,1,-8.90534047
CE10_chr1_4866024,1,-6.5816981
CE10_chr1_4866149,1,-9.89631195
CE10_chr1_4866184,1,-8.98371332
CE10_chr1_4866225,1,-1.15218568
CE10_chr1_4866284,1,-9.24522355
CE10_chr1_4866370,1,-11.4456582
CE10_chr1_4866535,1,-9.36922444
CE10_chr1_4866560,1,-1.59571997
CE10_chr1_4866622,1,-6.50445094
CE10_chr1_4866718,1,-4.39617565
CE10_chr1_4866735,1,-7.81432523
CE10_chr1_4866747,1,-5.47212867
CE10_chr1_4866772,1,3.07924851
CE10_chr1_4866789,1,-4.94061749
CE10_chr1_4866822,1,-11.1433296
CE10_chr1_4866823,1,-8.57405054
CE10_chr1_4866847,1,-4.24534602
CE10_chr1_4866897,1,-7.39808818
CE10_chr1_4866954,1,-7.63766503
CE10_chr1_4866986,1,-8.53277279
CE10_chr1_4867033,1,-7.47343298
CE10_chr1_4867213,1,-10.09069218
CE10_chr1_4867226,1,-9.52875579
CE10_chr1_4867308,1,-12.5550875
CE10_chr1_4867405,1,-5.92942293
CE10_chr1_4867518,1,-5.55941402
CE10_chr1_4867589,1,-10.69032969
CE10_chr1_4867744,1,-6.92230067
CE10_chr1_4867767,1,-4.22843929
CE10_chr1_4868016,1,-11.43229916
CE10_chr1_4868158,1,-8.67153151
CE10_chr1_4868226,1,-7.59531888
CE10_chr1_4868262,1,-8.33069585
CE10_chr1_4868298,1,-2.38854001
CE10_chr1_4868304,1,-7.61395112
CE10_chr1_4868336,1,-10.35007341
CE10_chr1_4868402,1,-6.89717078
CE10_chr1_4868407,1,-14.67080871
CE10_chr1_4868413,1,-9.70156031
CE10_chr1_4868502,1,-9.11399498
CE10_chr1_4868560,1,-4.67106833
CE10_chr1_4868656,1,-3.11757832
CE10_chr1_4868664,1,-6.2615538
CE10_chr1_4868701,1,-5.81478158
CE10_chr1_4868724,1,-5.99014449
CE10_chr1_4868737,1,-5.8944714
CE10_chr1_4868759,1,-7.19418295
CE10_chr1_4868781,1,-13.03633146
CE10_chr1_4868832,1,-4.4046054
CE10_chr1_4868843,1,-6.61589897
CE10_chr1_4868880,1,-15.22891337
CE10_chr1_4868920,1,-7.98045747
CE10_chr1_4869026,1,-8.64082778
CE10_chr1_4869912,1,-6.16048835
CE10_chr1_4869934,1,-9.00824628
CE10_chr1_4869947,1,-5.54119795
CE10_chr1_4869965,1,-8.6664551
CE10_chr1_5890623,1,-9.15048122
CE10_chr1_5891252,1,-7.42449495
CE10_chr1_5891484,1,-10.40736467
CE10_chr1_5891670,1,-9.34807407
CE10_chr1_5891729,1,-10.63767808
CE10_chr1_5891811,1,-9.96851096
CE10_chr1_5891836,1,-8.35815531
CE10_chr1_5891935,1,-5.31005608
CE10_chr1_5891973,1,-5.88488224
CE10_chr1_5892000,1,-8.22937331
CE10_chr1_5892088,1,-12.33119372
CE10_chr1_5892220,1,-5.65011658
CE10_chr1_5892454,1,-8.63731587
CE10_chr1_5892978,1,-10.79735968
CE10_chr1_5893277,1,-7.70137317
CE10_chr1_5893440,1,-8.19645528
CE10_chr1_5893489,1,5.19285285
CE10_chr1_5893703,1,-8.65168188
CE10_chr1_5894052,1,-11.32125682
CE10_chr1_5894116,1,-10.31703777
CE10_chr1_5894421,1,-8.32401542
CE10_chr1_5894492,1,-9.16476086
CE10_chr1_5894503,1,-8.38427336
CE10_chr1_5894529,1,-10.41524626
CE10_chr1_5894876,1,-8.5970906
CE10_chr1_5894890,1,-7.30917538
CE10_chr1_5895103,1,-9.72335199
CE10_chr1_5895190,1,-3.78390901
CE10_chr1_5895535,1,3.30978969
CE10_chr1_5895541,1,-5.9128107
CE10_chr1_5895714,1,-10.86218061
CE10_chr1_5895822,1,-8.71304976
CE10_chr1_5896007,1,-8.32727255
CE10_chr1_5896048,1,-9.08373594
CE10_chr1_5896139,1,-8.03371261
CE10_chr1_5896428,1,-4.76108646
CE10_chr1_5896980,1,-10.51420007
CE10_chr1_5897271,1,-4.89100549
CE10_chr1_5897591,1,-8.0062229
CE10_chr1_5897714,1,-8.15759979
CE10_chr1_5897740,1,-9.5640038
CE10_chr1_5897761,1,-6.76969007
CE10_chr1_5897926,1,-6.74918197
CE10_chr1_5897951,1,-3.51185975
CE10_chr1_5898064,1,-4.22311675
CE10_chr1_5898167,1,-10.54335212
CE10_chr1_5898200,1,-7.71845809
CE10_chr1_5898400,1,-12.5741197
CE10_chr1_5898721,1,-5.04784046
CE10_chr1_5898798,1,-9.04933265
CE10_chr1_5898837,1,-9.05077174
CE10_chr1_5898875,1,-6.36116945
CE10_chr1_5899012,1,-7.06292799
CE10_chr1_5899030,1,-7.63235308
CE10_chr1_5899193,1,-8.3809505
CE10_chr1_5899241,1,-10.01655762
CE10_chr1_5899243,1,-12.93696253
CE10_chr1_5899399,1,-7.58301843
CE10_chr1_5899418,1,-7.44020807
CE10_chr1_5899428,1,-7.57906388
CE10_chr1_5899611,1,-7.34210865
CE10_chr1_5899625,1,-7.8474753
CE10_chr1_5899803,1,-9.70945457
CE10_chr1_5899872,1,-8.74253069
CE10_chr1_5899893,1,-8.14629244
CE10_chr1_5899935,1,-10.88841144
CE10_chr1_30790186,1,-7.71208177
CE10_chr1_30790505,1,-8.67038806
CE10_chr1_30790530,1,-8.34310219
CE10_chr1_30790578,1,-6.5459988
CE10_chr1_30790737,1,-8.91696605
CE10_chr1_30790791,1,-7.7932875
CE10_chr1_30791102,1,-8.37959713
CE10_chr1_30791119,1,-5.52870091
CE10_chr1_30791151,1,-7.29825288
CE10_chr1_30791612,1,-8.11359688
CE10_chr1_30791626,1,-8.17994991
CE10_chr1_30791791,1,-3.43187629
CE10_chr1_30791853,1,-9.33044643
CE10_chr1_30791910,1,-9.7380534
CE10_chr1_30791994,1,-7.64942683
CE10_chr1_30792052,1,-9.21430333
CE10_chr1_30792103,1,-8.13322376
CE10_chr1_30793756,1,-7.78651072
CE10_chr1_30794228,1,-5.04166349
CE10_chr1_30794475,1,-7.29475755
CE10_chr1_30794506,1,-8.41770258
CE10_chr1_30794684,1,-9.37970391
CE10_chr1_30795043,1,-5.14383744
CE10_chr1_30795152,1,-8.47308495
CE10_chr1_30795534,1,-9.88847574
CE10_chr1_30795734,1,-9.01820482
CE10_chr1_30795773,1,-8.27293319
CE10_chr1_30796162,1,-7.78945702
CE10_chr1_30796225,1,-7.32178339
CE10_chr1_30796468,1,-10.02486662
CE10_chr1_30796598,1,-8.10356862
CE10_chr1_30796744,1,-9.87947405
CE10_chr1_30796915,1,-7.92340432
CE10_chr1_30796932,1,-4.66182687
CE10_chr1_30797089,1,-7.13996356
CE10_chr1_30797733,1,-3.00523719
CE10_chr1_30797750,1,-0.76820562
CE10_chr1_30798258,1,-7.83419698
CE10_chr1_30798270,1,-3.85763725
CE10_chr1_30798312,1,-5.75401582
CE10_chr1_30798357,1,-3.34117814
CE10_chr1_30798387,1,-8.50871514
CE10_chr1_30798451,1,-5.99164922
CE10_chr1_30798533,1,-9.23975836
CE10_chr1_30798629,1,-9.50334278
CE10_chr1_30798777,1,-7.05731927
CE10_chr1_30799339,1,-9.59704695
CE10_chr1_30799648,1,-0.93554859
CE10_chr1_30799723,1,-8.81462994
CE10_chr1_30799834,1,-8.0350715
CE10_chr1_36900071,1,-3.40050018
CE10_chr1_36900548,1,-7.78715743
CE10_chr1_36900874,1,-9.50794877
CE10_chr1_36901060,1,-9.2540547
CE10_chr1_36901112,1,-9.91938177
CE10_chr1_36901130,1,-6.60667874
CE10_chr1_36901160,1,-8.98588529
CE10_chr1_36901182,1,-9.09731614
CE10_chr1_36901194,1,1.67873161
CE10_chr1_36902204,1,-9.16589935
CE10_chr1_36902413,1,2.83181424
CE10_chr1_36902448,1,-7.94116348
CE10_chr1_36903995,1,-11.60062855
CE10_chr1_36904053,1,3.13859984
CE10_chr1_36904119,1,-9.76691175
CE10_chr1_36904160,1,-6.59356099
CE10_chr1_36904249,1,-10.72259146
CE10_chr1_36904321,1,-7.09535059
CE10_chr1_36906146,1,-6.4009926
CE10_chr1_36906350,1,0.60180418
CE10_chr1_36907469,1,-9.6209444
CE10_chr1_36907591,1,-11.21026015
CE10_chr1_36907723,1,-7.8704558
CE10_chr1_36907949,1,-9.77959823
CE10_chr1_36908321,1,-7.86302507
CE10_chr1_36908327,1,-8.80329983
CE10_chr1_36908350,1,-9.99829467
CE10_chr1_36908614,1,-8.61378284
CE10_chr1_36908634,1,-7.57436876
CE10_chr1_36908773,1,-7.62091434
CE10_chr1_36908817,1,-8.97081633
CE10_chr1_36909205,1,-8.6751573
CE10_chr1_36909306,1,-8.64812517
CE10_chr1_36909326,1,-7.69923949
CE10_chr1_36930056,1,-9.4003059
CE10_chr1_36930070,1,-6.9528579
CE10_chr1_36930107,1,5.80195437
CE10_chr1_36930128,1,-5.68152058
CE10_chr1_36930356,1,-6.40159325
CE10_chr1_36930357,1,2.41513303
CE10_chr1_36930398,1,-8.95223733
CE10_chr1_36930409,1,-10.65602507
CE10_chr1_36930491,1,-10.29511318
CE10_chr1_36930657,1,-7.59802294
CE10_chr1_36930747,1,-10.62657931
CE10_chr1_36930905,1,-7.32847533
CE10_chr1_36930922,1,-10.31355267
CE10_chr1_36930927,1,-10.81402319
CE10_chr1_36930960,1,-9.21595264
CE10_chr1_36930976,1,-9.48795486
CE10_chr1_36930994,1,-8.32987668
CE10_chr1_36931011,1,-8.48577577
CE10_chr1_36931035,1,-6.87267949
CE10_chr1_36931039,1,-9.00614738
CE10_chr1_36931053,1,-7.38361371
CE10_chr1_36931162,1,-9.97114225
CE10_chr1_36931286,1,-7.68164892
CE10_chr1_36931762,1,-7.1126914
CE10_chr1_36931807,1,-9.99028685
CE10_chr1_36931877,1,-10.06208309
CE10_chr1_36932247,1,-8.78266626
CE10_chr1_36932293,1,-9.71064635
CE10_chr1_36932413,1,-8.19732417
CE10_chr1_36932420,1,-4.79274413
CE10_chr1_36932451,1,-9.50238618
CE10_chr1_36932490,1,-8.59007001
CE10_chr1_36932558,1,-7.59530699
CE10_chr1_36932625,1,-10.15260456
CE10_chr1_36932693,1,-8.6634384
CE10_chr1_36932773,1,-8.72967265
CE10_chr1_36932960,1,-8.94904122
CE10_chr1_36934185,1,-11.07007033
