chr_snp,Chromosome,SNP,Env,BF
CE10_chr2_51517014,CE10_chr2,51517014,5,25.939933
CE10_chr2_51983352,CE10_chr2,51983352,5,26.2653061
CE10_chr2_52552433,CE10_chr2,52552433,5,20.19663728
CE10_chr2_52904434,CE10_chr2,52904434,5,20.21000027
CE10_chr3_3244872,CE10_chr3,3244872,5,22.01514621
CE10_chr3_3464569,CE10_chr3,3464569,5,20.36636884
CE10_chr3_3556934,CE10_chr3,3556934,5,28.33978907
CE10_chr3_5556125,CE10_chr3,5556125,5,23.66201874
CE10_chr3_7051996,CE10_chr3,7051996,5,20.25009907
CE10_chr3_13096437,CE10_chr3,13096437,5,42.92116785
CE10_chr3_14145608,CE10_chr3,14145608,5,26.59601107
CE10_chr3_14226545,CE10_chr3,14226545,5,28.93621133
CE10_chr3_14480566,CE10_chr3,14480566,5,36.86907529
CE10_chr3_15200151,CE10_chr3,15200151,5,24.99578051
CE10_chr3_16561308,CE10_chr3,16561308,5,26.14511866
CE10_chr3_17176186,CE10_chr3,17176186,5,22.14958897
CE10_chr3_18229056,CE10_chr3,18229056,5,25.87299456
CE10_chr3_18380704,CE10_chr3,18380704,5,25.63363286
CE10_chr3_18606526,CE10_chr3,18606526,5,21.66750723
CE10_chr3_19212627,CE10_chr3,19212627,5,20.76241117
CE10_chr3_22653589,CE10_chr3,22653589,5,30.62392348
CE10_chr3_22909175,CE10_chr3,22909175,5,23.43020012
CE10_chr3_23041587,CE10_chr3,23041587,5,23.34540257
CE10_chr3_23214714,CE10_chr3,23214714,5,22.90048649
CE10_chr3_26275221,CE10_chr3,26275221,5,20.06981943
CE10_chr3_28730690,CE10_chr3,28730690,5,20.24613942
CE10_chr3_29237324,CE10_chr3,29237324,5,23.73356118
CE10_chr3_32049444,CE10_chr3,32049444,5,32.74057755
CE10_chr3_34035105,CE10_chr3,34035105,5,25.57882384
CE10_chr3_35103268,CE10_chr3,35103268,5,24.33816565
CE10_chr3_41433503,CE10_chr3,41433503,5,26.22560861
CE10_chr3_42640775,CE10_chr3,42640775,5,23.03994739
CE10_chr3_42841832,CE10_chr3,42841832,5,30.83993804
CE10_chr3_43198987,CE10_chr3,43198987,5,24.36618416
CE10_chr3_43617051,CE10_chr3,43617051,5,22.53991152
CE10_chr3_44073520,CE10_chr3,44073520,5,20.64377605
CE10_chr3_45018714,CE10_chr3,45018714,5,21.28784663
CE10_chr3_45476848,CE10_chr3,45476848,5,22.26616187
CE10_chr3_46416959,CE10_chr3,46416959,5,23.61772201
CE10_chr3_46477185,CE10_chr3,46477185,5,20.67921695
CE10_chr3_46723897,CE10_chr3,46723897,5,20.99998448
CE10_chr3_47868284,CE10_chr3,47868284,5,20.33626742
CE10_chr3_48016338,CE10_chr3,48016338,5,26.74357279
CE10_chr3_48346120,CE10_chr3,48346120,5,41.55226737
CE10_chr3_48383553,CE10_chr3,48383553,5,23.89329986
CE10_chr4_862346,CE10_chr4,862346,5,21.37122081
CE10_chr4_1380310,CE10_chr4,1380310,5,21.01589227
CE10_chr4_2100923,CE10_chr4,2100923,5,23.96030182
CE10_chr4_2749806,CE10_chr4,2749806,5,20.8153906
CE10_chr4_4277488,CE10_chr4,4277488,5,20.60010972
CE10_chr4_4330136,CE10_chr4,4330136,5,21.19258642
CE10_chr4_5650587,CE10_chr4,5650587,5,24.06237738
CE10_chr4_6796591,CE10_chr4,6796591,5,23.76088998
CE10_chr4_6861534,CE10_chr4,6861534,5,22.27546424
CE10_chr4_8927268,CE10_chr4,8927268,5,20.61643914
CE10_chr4_9346880,CE10_chr4,9346880,5,23.45586444
CE10_chr4_12951359,CE10_chr4,12951359,5,33.3461282
CE10_chr4_13158126,CE10_chr4,13158126,5,26.05369328
CE10_chr4_15268956,CE10_chr4,15268956,5,21.74347335
CE10_chr4_15287449,CE10_chr4,15287449,5,21.14665997
CE10_chr4_17763892,CE10_chr4,17763892,5,20.60987981
CE10_chr4_20941472,CE10_chr4,20941472,5,22.17607327
CE10_chr4_33913987,CE10_chr4,33913987,5,21.69299713
CE10_chr4_36181632,CE10_chr4,36181632,5,25.05125204
CE10_chr4_37288428,CE10_chr4,37288428,5,20.24275146
CE10_chr4_37475718,CE10_chr4,37475718,5,24.16960959
CE10_chr4_41140741,CE10_chr4,41140741,5,28.76281796
CE10_chr4_41175740,CE10_chr4,41175740,5,22.33739754
CE10_chr4_41392574,CE10_chr4,41392574,5,20.49563972
CE10_chr4_42323132,CE10_chr4,42323132,5,23.23834848
CE10_chr4_42633678,CE10_chr4,42633678,5,23.77716317
CE10_chr4_43529668,CE10_chr4,43529668,5,26.31023932
CE10_chr4_44811780,CE10_chr4,44811780,5,24.38042737
CE10_chr4_45417614,CE10_chr4,45417614,5,21.23461835
CE10_chr4_45587953,CE10_chr4,45587953,5,20.83404803
CE10_chr4_45821837,CE10_chr4,45821837,5,24.38015042
CE10_chr4_45914977,CE10_chr4,45914977,5,27.57667096
CE10_chr4_46783184,CE10_chr4,46783184,5,22.36687428
CE10_chr4_46821247,CE10_chr4,46821247,5,21.56996407
CE10_chr4_48993203,CE10_chr4,48993203,5,31.4573152
CE10_chr5_270160,CE10_chr5,270160,5,22.30680656
CE10_chr5_1078743,CE10_chr5,1078743,5,20.46384315
CE10_chr5_1339206,CE10_chr5,1339206,5,25.10850558
CE10_chr5_1997594,CE10_chr5,1997594,5,20.24641566
CE10_chr5_2008993,CE10_chr5,2008993,5,20.59110144
CE10_chr5_2919753,CE10_chr5,2919753,5,20.9354417
CE10_chr5_3176713,CE10_chr5,3176713,5,20.49534538
CE10_chr5_3204378,CE10_chr5,3204378,5,22.66620683
CE10_chr5_3358265,CE10_chr5,3358265,5,20.81472751
CE10_chr5_5505967,CE10_chr5,5505967,5,23.43387019
CE10_chr5_5813077,CE10_chr5,5813077,5,31.04933421
CE10_chr5_5845675,CE10_chr5,5845675,5,37.07534234
CE10_chr5_5861838,CE10_chr5,5861838,5,22.75923336
CE10_chr5_6044859,CE10_chr5,6044859,5,20.32055239
CE10_chr5_8673897,CE10_chr5,8673897,5,21.03186074
CE10_chr5_8751850,CE10_chr5,8751850,5,24.44677764
CE10_chr5_8771105,CE10_chr5,8771105,5,20.28256604
CE10_chr5_9959438,CE10_chr5,9959438,5,22.57969429
CE10_chr5_9992929,CE10_chr5,9992929,5,24.68656639
CE10_chr5_10329480,CE10_chr5,10329480,5,20.75613122
CE10_chr5_22913730,CE10_chr5,22913730,5,21.04956789
CE10_chr5_24762110,CE10_chr5,24762110,5,31.12993345
CE10_chr5_35111467,CE10_chr5,35111467,5,26.62606574
CE10_chr5_40362012,CE10_chr5,40362012,5,24.9638445
CE10_chr5_41198451,CE10_chr5,41198451,5,21.74298154
CE10_chr5_41597829,CE10_chr5,41597829,5,21.41725205
CE10_chr5_41894183,CE10_chr5,41894183,5,25.35691326
CE10_chr5_41935919,CE10_chr5,41935919,5,32.71030945
CE10_chr5_42053075,CE10_chr5,42053075,5,23.27551693
CE10_chr5_47327540,CE10_chr5,47327540,5,22.48415497
CE10_chr5_47337665,CE10_chr5,47337665,5,24.9630872
CE10_chr5_48256140,CE10_chr5,48256140,5,26.80820389
CE10_chr5_49138144,CE10_chr5,49138144,5,22.56032358
CE10_chr5_49859328,CE10_chr5,49859328,5,27.03514509
CE10_chr5_49900864,CE10_chr5,49900864,5,24.09264121
CE10_chr5_50013782,CE10_chr5,50013782,5,24.13196304
CE10_chr5_50256064,CE10_chr5,50256064,5,20.73149434
CE10_chr5_51103222,CE10_chr5,51103222,5,21.41930961
CE10_chr5_51214519,CE10_chr5,51214519,5,24.68576243
CE10_chr5_51314141,CE10_chr5,51314141,5,32.42582782
CE10_chr5_51590901,CE10_chr5,51590901,5,26.41273738
CE10_chr6_257233,CE10_chr6,257233,5,21.0298619
CE10_chr6_351371,CE10_chr6,351371,5,21.85168941
CE10_chr6_1502787,CE10_chr6,1502787,5,22.40788327
CE10_chr6_1979649,CE10_chr6,1979649,5,27.74941563
CE10_chr6_2741309,CE10_chr6,2741309,5,22.00598352
CE10_chr6_2858254,CE10_chr6,2858254,5,22.22312928
CE10_chr6_4444549,CE10_chr6,4444549,5,20.82596924
CE10_chr6_5667682,CE10_chr6,5667682,5,20.22441786
CE10_chr6_6017898,CE10_chr6,6017898,5,20.47922798
CE10_chr6_6246358,CE10_chr6,6246358,5,21.03943246
CE10_chr6_6719624,CE10_chr6,6719624,5,25.42693794
CE10_chr6_7687516,CE10_chr6,7687516,5,22.19833381
CE10_chr6_8012506,CE10_chr6,8012506,5,20.98961368
CE10_chr6_8042005,CE10_chr6,8042005,5,26.30283972
CE10_chr6_8363090,CE10_chr6,8363090,5,21.4750163
CE10_chr6_9714622,CE10_chr6,9714622,5,21.24612739
CE10_chr6_10121765,CE10_chr6,10121765,5,27.68965436
CE10_chr6_10805566,CE10_chr6,10805566,5,23.41763668
CE10_chr6_10831709,CE10_chr6,10831709,5,20.17089261
CE10_chr6_11146310,CE10_chr6,11146310,5,27.49969142
CE10_chr6_12114399,CE10_chr6,12114399,5,24.03868659
CE10_chr6_12645715,CE10_chr6,12645715,5,22.37540504
CE10_chr6_12849957,CE10_chr6,12849957,5,20.85519911
CE10_chr6_13961107,CE10_chr6,13961107,5,21.45733064
CE10_chr6_14714044,CE10_chr6,14714044,5,21.53101192
CE10_chr6_15999445,CE10_chr6,15999445,5,21.30698607
CE10_chr6_20573780,CE10_chr6,20573780,5,21.01959521
CE10_chr6_21628969,CE10_chr6,21628969,5,25.8134532
CE10_chr6_31393438,CE10_chr6,31393438,5,23.75702305
CE10_chr6_33868373,CE10_chr6,33868373,5,25.79439496
CE10_chr6_34499695,CE10_chr6,34499695,5,26.64536038
CE10_chr6_34666106,CE10_chr6,34666106,5,26.09729439
CE10_chr6_34851218,CE10_chr6,34851218,5,24.79491297
CE10_chr6_37007639,CE10_chr6,37007639,5,23.77533147
CE10_chr6_37849255,CE10_chr6,37849255,5,34.12463515
CE10_chr6_43994358,CE10_chr6,43994358,5,22.63327449
CE10_chr6_45237842,CE10_chr6,45237842,5,21.19591148
CE10_chr6_45784058,CE10_chr6,45784058,5,22.92587878
CE10_chr6_45957285,CE10_chr6,45957285,5,29.87516637
CE10_chr6_46773586,CE10_chr6,46773586,5,20.82904074
CE10_chr6_46847298,CE10_chr6,46847298,5,28.76285306
CE10_chr6_47523320,CE10_chr6,47523320,5,24.63955515
CE10_chr6_47741009,CE10_chr6,47741009,5,22.92646703
CE10_chr6_49566480,CE10_chr6,49566480,5,22.2809607
CE10_chr6_49975947,CE10_chr6,49975947,5,20.56556755
CE10_chr6_50894121,CE10_chr6,50894121,5,21.23064371
CE10_chr6_51405145,CE10_chr6,51405145,5,24.52762464
CE10_chr6_51663775,CE10_chr6,51663775,5,22.88141771
CE10_chr6_52498021,CE10_chr6,52498021,5,27.36586426
CE10_chr6_53094157,CE10_chr6,53094157,5,25.644468
CE10_chr6_53301571,CE10_chr6,53301571,5,30.08784573
CE10_chr6_53332972,CE10_chr6,53332972,5,30.74153915
CE10_chr6_53334596,CE10_chr6,53334596,5,22.88581804
CE10_chr6_53837035,CE10_chr6,53837035,5,23.5975784
CE10_chr6_53841201,CE10_chr6,53841201,5,22.48856358
CE10_chr6_54174875,CE10_chr6,54174875,5,31.13953396
CE10_chr6_54470640,CE10_chr6,54470640,5,21.9876166
CE10_chr6_54532357,CE10_chr6,54532357,5,29.53059963
CE10_chr6_55633735,CE10_chr6,55633735,5,31.57850964
CE10_chr6_55647280,CE10_chr6,55647280,5,26.91427345
CE10_chr6_55654760,CE10_chr6,55654760,5,34.04718144
CE10_chr6_55655983,CE10_chr6,55655983,5,27.23065256
CE10_chr6_55693220,CE10_chr6,55693220,5,21.0174227
CE10_chr6_56350577,CE10_chr6,56350577,5,20.02418544
CE10_chr6_56396749,CE10_chr6,56396749,5,38.04427954
CE10_chr6_56455094,CE10_chr6,56455094,5,20.60433908
CE10_chr6_56480746,CE10_chr6,56480746,5,30.41169138
CE10_chr6_56481185,CE10_chr6,56481185,5,25.61985655
CE10_chr6_56505268,CE10_chr6,56505268,5,23.58847693
CE10_chr6_56505735,CE10_chr6,56505735,5,24.65866197
CE10_chr6_56512550,CE10_chr6,56512550,5,22.88098774
CE10_chr6_56705185,CE10_chr6,56705185,5,22.21371241
CE10_chr6_56802391,CE10_chr6,56802391,5,28.62618395
CE10_chr6_56804701,CE10_chr6,56804701,5,38.30296341
CE10_chr6_57092304,CE10_chr6,57092304,5,20.42528863
CE10_chr6_57274872,CE10_chr6,57274872,5,28.81560413
CE10_chr6_57420217,CE10_chr6,57420217,5,20.42966297
CE10_chr6_57875209,CE10_chr6,57875209,5,21.33439174
CE10_chr6_58348706,CE10_chr6,58348706,5,32.16390392
CE10_chr6_59121765,CE10_chr6,59121765,5,23.15246981
CE10_chr6_60246808,CE10_chr6,60246808,5,21.5131103
CE10_chr6_60334605,CE10_chr6,60334605,5,30.27291803
CE10_chr6_60718601,CE10_chr6,60718601,5,45.9053149
CE10_chr6_61381003,CE10_chr6,61381003,5,22.11458105
CE10_chr7_1812812,CE10_chr7,1812812,5,20.06414447
CE10_chr7_1856331,CE10_chr7,1856331,5,31.748857
CE10_chr7_2321467,CE10_chr7,2321467,5,20.55019918
CE10_chr7_2360636,CE10_chr7,2360636,5,33.70481863
CE10_chr7_2451096,CE10_chr7,2451096,5,24.44171457
CE10_chr7_2684373,CE10_chr7,2684373,5,36.89952676
CE10_chr7_2732476,CE10_chr7,2732476,5,24.55138318
CE10_chr7_3458325,CE10_chr7,3458325,5,20.58636415
CE10_chr7_5185868,CE10_chr7,5185868,5,20.72742766
CE10_chr7_7352639,CE10_chr7,7352639,5,23.22271399
CE10_chr7_7611943,CE10_chr7,7611943,5,20.42521521
CE10_chr7_7624956,CE10_chr7,7624956,5,20.63702436
CE10_chr7_7925310,CE10_chr7,7925310,5,20.28032833
CE10_chr7_8884049,CE10_chr7,8884049,5,20.68701219
CE10_chr7_9874579,CE10_chr7,9874579,5,24.06743516
CE10_chr7_10546808,CE10_chr7,10546808,5,20.47811363
CE10_chr7_10591619,CE10_chr7,10591619,5,30.96807323
CE10_chr7_10723196,CE10_chr7,10723196,5,20.12079182
CE10_chr7_13600560,CE10_chr7,13600560,5,20.44702014
CE10_chr7_13682671,CE10_chr7,13682671,5,24.25658284
CE10_chr7_14516636,CE10_chr7,14516636,5,23.96672967
CE10_chr7_16845070,CE10_chr7,16845070,5,23.91755779
CE10_chr7_24106271,CE10_chr7,24106271,5,27.760557
CE10_chr7_25108278,CE10_chr7,25108278,5,22.41479095
CE10_chr7_28682255,CE10_chr7,28682255,5,23.1616007
CE10_chr7_28927309,CE10_chr7,28927309,5,24.54996043
CE10_chr7_28948567,CE10_chr7,28948567,5,29.15871034
CE10_chr7_30566053,CE10_chr7,30566053,5,20.02953867
CE10_chr7_30609338,CE10_chr7,30609338,5,20.5778249
CE10_chr7_31217811,CE10_chr7,31217811,5,25.42569199
CE10_chr7_31217817,CE10_chr7,31217817,5,25.06435322
CE10_chr7_31309062,CE10_chr7,31309062,5,20.15686375
CE10_chr7_32592261,CE10_chr7,32592261,5,24.75407205
CE10_chr7_34827003,CE10_chr7,34827003,5,21.29481623
CE10_chr7_35310314,CE10_chr7,35310314,5,29.13105514
CE10_chr7_35705102,CE10_chr7,35705102,5,25.54613459
CE10_chr7_35861516,CE10_chr7,35861516,5,20.4444435
CE10_chr7_39209611,CE10_chr7,39209611,5,33.7831891
CE10_chr7_39699862,CE10_chr7,39699862,5,25.15304224
CE10_chr7_40901345,CE10_chr7,40901345,5,24.23080637
CE10_chr7_41580975,CE10_chr7,41580975,5,27.41075358
CE10_chr7_43800197,CE10_chr7,43800197,5,23.39821211
CE10_chr7_44193380,CE10_chr7,44193380,5,25.40888432
CE10_chr8_1300847,CE10_chr8,1300847,5,28.77128998
CE10_chr8_1670459,CE10_chr8,1670459,5,23.42431652
CE10_chr8_1671379,CE10_chr8,1671379,5,29.07406433
CE10_chr8_1673324,CE10_chr8,1673324,5,34.86696905
CE10_chr8_1695953,CE10_chr8,1695953,5,31.37708787
CE10_chr8_2154086,CE10_chr8,2154086,5,21.8130236
CE10_chr8_3024933,CE10_chr8,3024933,5,20.31612346
CE10_chr8_4041380,CE10_chr8,4041380,5,27.36871614
CE10_chr8_4050397,CE10_chr8,4050397,5,20.8660736
CE10_chr8_4172223,CE10_chr8,4172223,5,20.24181442
CE10_chr8_4434280,CE10_chr8,4434280,5,24.32647299
CE10_chr8_5959877,CE10_chr8,5959877,5,20.10792259
CE10_chr8_6641934,CE10_chr8,6641934,5,23.06927555
CE10_chr8_6782350,CE10_chr8,6782350,5,21.69632376
CE10_chr8_7409650,CE10_chr8,7409650,5,22.69894731
CE10_chr8_7690937,CE10_chr8,7690937,5,28.92813207
CE10_chr8_8437840,CE10_chr8,8437840,5,22.22764798
CE10_chr8_8484844,CE10_chr8,8484844,5,26.23797867
CE10_chr8_9178825,CE10_chr8,9178825,5,26.09410633
CE10_chr8_9517886,CE10_chr8,9517886,5,20.20996456
CE10_chr8_11505591,CE10_chr8,11505591,5,22.61576782
CE10_chr8_15704151,CE10_chr8,15704151,5,39.45709332
CE10_chr8_15878213,CE10_chr8,15878213,5,22.30677029
CE10_chr8_17304685,CE10_chr8,17304685,5,21.4710291
CE10_chr8_17504070,CE10_chr8,17504070,5,22.38851896
CE10_chr8_18443323,CE10_chr8,18443323,5,22.12129845
CE10_chr8_18973257,CE10_chr8,18973257,5,26.42693208
CE10_chr8_19819412,CE10_chr8,19819412,5,23.40489161
CE10_chr8_34436948,CE10_chr8,34436948,5,24.78137414
CE10_chr8_44734174,CE10_chr8,44734174,5,21.07155744
CE10_chr8_46543424,CE10_chr8,46543424,5,31.03096502
CE10_chr8_48478067,CE10_chr8,48478067,5,20.55849506
CE10_chr8_48598128,CE10_chr8,48598128,5,20.10549816
CE10_chr8_48758774,CE10_chr8,48758774,5,20.17043755
CE10_chr8_50053221,CE10_chr8,50053221,5,21.99860629
CE10_chr8_50142552,CE10_chr8,50142552,5,20.93426504
